hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Free Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Outdoor Pool,Pet Friendly,Bar,Non-smoking Rooms,WiFi,Dist,Label
DoubleTree Suites by Hilton Orlando at Disney Springs,32830,211,8.4,8.5,8.5,8.2,8.5,7.9,7.4,8.8,0,0,0,1,1,1,0,1,1,0,1,0,0,13,0
Best Western International Drive - Orlando,32819,1399,8.1,8,7.8,7.8,8.5,7.9,8.4,8.9,0,1,1,1,0,0,0,1,0,0,0,1,0,8.1,1
Holiday Inn Resort Orlando - Lake Buena Vista,32821,1064,8.5,8.4,8.5,8.3,8.6,8.1,8.3,8.8,0,0,0,1,1,0,0,1,1,1,1,0,0,13,0
Autumn Villa IC049,34747,16,8.6,8,8.6,8.6,8.9,8.6,7.5,8.9,0,1,0,0,0,0,0,1,1,0,0,1,0,19.9,0
Two Bedroom Townhouse in Oakwater Resort 27ow09,34747,5,8.4,9,8.5,8.5,6.5,9,9,1,0,1,1,0,0,0,0,1,1,0,0,1,0,18.6,2
Crowne Plaza Hotel Orlando Downtown,32801,1153,8.3,8.7,8.6,8.4,8.6,7.8,8.8,7.9,0,0,0,1,1,0,0,1,1,0,1,1,0,1.2,0
Disney Home,34747,66,9.2,9.3,9.5,9.3,8.8,9.1,9.1,9.3,0,1,0,1,0,0,0,1,0,0,0,1,0,19.3,0
Embassy Suites Orlando - Airport,32822,10,7.9,7.8,8.5,7.3,8,7.3,2.5,8.5,0,0,0,1,1,0,0,0,1,0,1,0,1,6.8,1
Paradise Palms 5 Bedroom-3503,34747,8,9.1,9.4,9.7,8.8,8.6,8.8,10,9.1,0,1,1,0,0,0,0,1,1,0,0,0,0,18,0
"Bluegreen Vacations The Fountains, Ascend Resort Collection",32821,283,8.6,8.5,8.8,8.7,8.6,8.3,7.4,8.9,0,1,0,1,0,0,0,1,1,0,1,1,0,11.2,0
Mickey Family Vacation Home,34747,390,8.7,8.3,8.7,8.7,8.4,8.8,9.2,9.2,0,1,0,1,0,0,0,1,1,0,0,1,0,18.6,0
Holiday Inn Express Hotel & Suites Orlando East-UCF Area,32826,137,9,9.2,9.2,8.9,9.2,8.7,9.1,8.6,0,1,0,1,0,0,0,1,0,0,0,1,0,11.2,0
Quality Suites Orlando Kissimmee The Royale Parc Suites,34746,1650,8.2,8,8.2,8,8.5,8.2,7.8,8.6,0,1,0,0,0,0,0,1,1,1,0,0,0,16.2,1
