hotel,Score,Cleanliness,Comfort
Strathmore Apartments,7.4,7.5,7.4
Executive Celebrity Suites,8.5,8.4,8.7
Popular Downtown Los Angeles Luxurious Resort Suite,7.9,7.5,8.3
Hollywood Hot Spot Condo,7.5,7.5,7.1
Amazing 2bed/2 bath near the Grove,8.3,7.5,8.2
Popular DTLA Designer Suite,8.0,8.5,8.1
Sportsmen's Lodge Hotel,7.7,7.9,7.8
Popular Hollywood Blvd Magnificent Suite,7.8,7.5,8.0
Epic Downtown Apartment,8.2,8.8,8.3
SureStay Collection by Best Western Saharan Hotel,7.0,7.1,6.8
Modern Star Apartments,8.1,8.8,8.3
Hotel Carmel By The Sea,7.4,7.6,6.9
Popular Hollywood Blvd Two Story Suite,7.8,7.9,8.1
Urban Downtown LA Oasis Resort Suite,7.5,7.2,7.3
Urban Downtown LA Pool Table Penthouse,7.9,6.8,8.2
"The Standard, Downtown LA",7.8,8.1,7.7
The Grove Luxury Suite,7.9,7.1,7.9
Century Park Hotel LA,7.4,7.8,7.4
Hollywood City Inn,7.3,7.4,7.2
Private Bedroom and Bathroom in Shared 2 Bedroom Apartment,8.2,8.5,8.3
Wellworth Apartments,7.8,7.5,7.9
Cal Mar Hotel Suites,7.7,7.6,7.5
Dunes Inn - Sunset,7.5,7.8,7.2
The Dixie Hollywood,7.1,7.0,6.8
Hollywood Grand Apartment,6.9,7.0,7.5
Hollywood 5 Beds Famous Awards Pool,7.3,7.0,6.9
La Quinta Inn & Suites LAX,7.4,7.5,7.5
Highland Gardens Hotel,7.0,6.4,6.6
Ramada by Wyndham Los Angeles/Downtown West,6.9,7.3,7.1
Hollywood Downtowner Inn,7.1,6.7,6.7
O Hotel,7.5,7.8,7.3
Hotel Hwood Near the Sunset Strip,7.5,7.6,7.3
Penthouse Los Angeles Convention Resort Suite Pool,7.7,8.1,8.2
Luxury Private 2 bedroom Condo,7.4,7.3,7.7
Hollywood Inn Express North,7.2,7.3,7.1
Hollywood and Sunset Furnished Apartments,8.4,8.1,8.5
Step to the beach,6.2,6.7,5.4
Dunes Inn - Wilshire,7.3,7.6,7.1
Chic Hollywood home - central to everything,8.1,9.0,9.0
Corporate Suites in Downtown LA near Staples Center,7.2,7.2,7.5
Hollywood Blvd Walk of Fame Apartment,7.5,7.5,7.5
Ocean Suites - Coral,8.5,8.4,8.3
Studio City Courtyard Hotel,7.2,7.1,7.0
Hotel Solaire Los Angeles,7.0,7.1,7.0
Private Hollywood 4Br Villa at Melrose,7.8,7.2,7.9
Hollywood Inn Express South,6.2,6.5,6.3
Sunburst Spa & Suites Motel,7.2,7.3,7.2
Popular Hollywood Blvd Premier Suite,6.7,7.1,6.7
Downtown LA Gorgeous Resort Style Suite,7.3,6.8,7.3
Fully furnished apartment in la close to Beverly Hills,7.2,7.0,7.1
Luxury Downtown Vacation Home with Parking,9.7,10.0,10.0
Westwood Two Bedroom #2,9.3,9.4,9.2
Ocean Park Hotel,7.4,7.8,6.8
Modern 3 bedrooms 2 bathrooms Mid City,7.9,8.5,8.5
Downtown LA City View Suite,7.8,7.9,7.7
Gateway Hotel Santa Monica,8.2,8.7,8.3
Hollywood Walk of Fame Furnished Apartments,7.0,6.6,7.0
Luxury Studio Next to LA Live,6.1,6.8,6.8
Avalon Hotel Beverly Hills,7.7,8.0,7.7
Loews Santa Monica Beach Hotel,8.6,9.0,8.9
Ginosi Metropolitan Apartel,8.1,8.0,8.2
Holiday Inn Los Angeles - LAX Airport,7.0,7.2,7.2
Chateau Marmont,8.7,9.0,8.9
Walk of Fame Apartment in Hollywood,7.6,7.3,7.1
Fabulous Walk of Fame Apartment in Hollywood,7.7,7.5,7.5
Walk of Fame Suite in Hollywood,6.3,6.0,6.6
Jamaica Bay Inn,8.5,9.0,8.7
The Mayfair Hotel,6.9,7.2,7.0
Hollywood Bed & Breakfast,9.2,9.6,9.2
Shutters On The Beach,8.8,9.3,9.1
Noon on Sunset Hill,8.4,8.8,8.9
Ocean Suites - Sail,9.4,9.8,9.0
Fully Furnished Apt in LA Downtown,7.9,8.0,8.4
Hollywood 6 Beds Superstar Pool,7.8,7.3,7.7
Miyako Hotel Los Angeles,8.3,8.7,8.6
Best Western Airport Plaza Inn,7.5,7.8,7.5
Hollywood Celebrity Hotel,8.7,8.8,8.3
Hollywood Orchid Suites,9.0,9.0,8.9
Ocean Suites - Sand,8.5,8.2,8.1
Villa Brasil Motel,9.2,9.3,9.1
Venice Beach Suites & Hotel,8.2,8.2,7.8
Hollywood Loft,8.0,8.4,8.4
Ocean Suites - Ocean,8.3,8.4,7.7
Downtown LA Superb 5 Beds 2 BR Pool,7.9,8.5,8.3
Hollywood Bellucci Apartment,8.0,8.1,8.1
